order_id,Periode,Kategori_Utama,Provinsi,Kota/Kabupaten,Metode Pembayaran,Opsi Pengiriman,Total Pembayaran,Estimasi Potongan Biaya Pengiriman,Estimasi_Biaya_Komisi_Rp,Estimasi_Biaya_Proses_Pesanan_Rp
ORD_0000974,2025-04,Lunch Box / Rantang,LAMPUNG,KOTA BANDAR LAMPUNG,SPayLater,Reguler (Cashless)-SPX Standard,38421,19000,3842,1255
ORD_0000977,2025-04,Tempat Nasi,JAWA TENGAH,KAB. BREBES,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,44680,0,4468,1255
ORD_0000978,2025-04,Baskom / Mangkok Besar,JAWA TENGAH,KAB. BREBES,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,87320,0,8732,1255
ORD_0000979,2025-04,Teko / Jug,JAWA BARAT,KAB. BOGOR,Online Payment,Hemat Kargo-SPX Hemat,121301,8000,12130,1255
ORD_0000980,2025-04,Celengan,JAWA BARAT,KAB. BEKASI,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,18576,8000,1858,1255
ORD_0000981,2025-04,Baskom / Mangkok Besar,JAWA BARAT,KAB. BANDUNG BARAT,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,46901,0,4690,1255
ORD_0000982,2025-04,Celengan,JAWA BARAT,KAB. BANDUNG BARAT,Online Payment,Reguler (Cashless)-SPX Standard,19400,14000,1940,1255
ORD_0000983,2025-04,Piring,JAWA BARAT,KOTA BOGOR,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,17640,0,1764,1255
ORD_0000984,2025-04,Other,KALIMANTAN TIMUR,KAB. KUTAI KARTANEGARA,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,47280,15000,4728,1255
ORD_0000985,2025-04,Tempat Nasi,RIAU,KOTA PEKANBARU,Saldo ShopeePay,SPX Hemat,30600,15000,3060,1255
ORD_0000986,2025-04,Mangkok Sambal / Saus,JAWA TENGAH,KAB. MAGELANG,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,16600,15000,1660,1255
ORD_0000987,2025-04,Celengan,GORONTALO,KAB. GORONTALO,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,50993,0,5099,1255
ORD_0000989,2025-04,Celengan,JAWA BARAT,KOTA BEKASI,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,18576,8000,1858,1255
ORD_0000990,2025-04,Gantungan Baju / Hanger,BANTEN,KOTA TANGERANG,Saldo ShopeePay,Same Day-SPX Sameday,56900,17500,5690,1255
ORD_0000991,2025-04,Mangkok Sambal / Saus,JAWA BARAT,KAB. BEKASI,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,17120,8000,1712,1255
ORD_0000992,2025-04,Celengan,BANTEN,KAB. TANGERANG,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,18576,9500,1858,1255
ORD_0000993,2025-04,Mangkok Sambal / Saus,NUSA TENGGARA TIMUR (NTT),KAB. SUMBA TIMUR,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,88360,0,8836,1255
ORD_0000994,2025-04,Mangkok Sambal / Saus,JAWA BARAT,KAB. BANDUNG BARAT,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,33240,14000,3324,1255
ORD_0000995,2025-04,Aksesoris Pintu,JAWA BARAT,KOTA BEKASI,Saldo ShopeePay,Hemat Kargo-SPX Hemat,14400,5000,1440,1255
ORD_0000996,2025-04,Other,BANTEN,KOTA TANGERANG SELATAN,Online Payment,Hemat Kargo-SPX Hemat,80500,8000,8050,1255
ORD_0000998,2025-04,Bangku / Kursi Kecil,JAWA TIMUR,KAB. LUMAJANG,SPayLater,Hemat Kargo-SPX Hemat,21705,15000,2170,1255
ORD_0000999,2025-04,Celengan,DKI JAKARTA,KOTA JAKARTA UTARA,Online Payment,Next Day-JNE YES,35556,0,3556,1255
ORD_0001000,2025-04,Lunch Box / Rantang,JAWA TIMUR,KAB. MALANG,SPayLater,Reguler (Cashless)-SPX Standard,100606,17000,10061,1255
ORD_0001003,2025-04,Seal / Baut / Roof,JAWA BARAT,KOTA SUKABUMI,Saldo ShopeePay,Hemat Kargo-SPX Hemat,356230,30600,35623,1255
ORD_0001005,2025-04,Keranjang,GORONTALO,KOTA GORONTALO,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,26272,30000,2627,1255
ORD_0001007,2025-04,Aksesoris Pintu,DI YOGYAKARTA,KAB. SLEMAN,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,10880,17000,1088,1255
ORD_0001008,2025-04,Celengan,DKI JAKARTA,KOTA JAKARTA UTARA,Saldo ShopeePay,Hemat Kargo-SPX Hemat,22900,8000,2290,1255
ORD_0001009,2025-04,Celengan,RIAU,KOTA PEKANBARU,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,15061,21000,1506,1255
ORD_0001011,2025-04,Baskom / Mangkok Besar,JAWA BARAT,KOTA DEPOK,Saldo ShopeePay,Hemat Kargo-SPX Hemat,148900,14400,14890,1255
ORD_0001012,2025-04,Nampan / Tray,SULAWESI SELATAN,KAB. WAJO,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,54248,20000,5425,1255
ORD_0001013,2025-04,Keranjang,DI YOGYAKARTA,KAB. BANTUL,Saldo ShopeePay,Hemat Kargo-SPX Hemat,30500,15000,3050,1255
ORD_0001014,2025-04,Aksesoris Pintu,JAWA BARAT,KAB. KARAWANG,Saldo ShopeePay,Hemat Kargo-SPX Hemat,42300,20000,4230,1255
ORD_0001016,2025-04,Other,JAWA TENGAH,KOTA SURAKARTA (SOLO),COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,27000,14500,2700,1255
ORD_0001017,2025-04,Nampan / Tray,NANGGROE ACEH DARUSSALAM (NAD),KOTA BANDA ACEH,Online Payment,Kargo-J&T Cargo,165211,20000,16521,1255
